name,file
Cover,00_cover.png
Blank,blank.png
Blank,blank.png
Blank,blank.png
Title page,01_title.png
Instructions,02_instructions.png
Haiku LJ,03_haiku_lj.png
Haiku BF,03_haiku_bf.png
Haiku VD,03_haiku_vd.png
Meal BF,04_meal_bf.png
Meal VD,04_meal_vd.png
Meal LJ,04_meal_lj.png
Words BF,05_words_bf.png
Words LJ,05_words_lj.png
Words VD,05_words_vd.png
Happy birthday,06_happy_birthday.png
Blank,blank.png
Blank,blank.png
Blank,blank.png
Back cover,07_back_cover.png
